Iteration,Best Distance
1,3203.23
2,3203.23
3,2859.01
4,2656.99
5,2656.99
6,2656.99
7,2656.99
8,2656.99
9,2656.99
10,2656.99
11,2656.99
12,2656.99
13,2656.99
14,2656.99
15,2656.99
16,2656.99
17,2656.99
18,2656.99
19,2656.99
20,2656.99
21,2656.99
22,2656.99
23,2656.99
24,2656.99
25,2656.99
26,2656.99
27,2656.99
28,2656.99
29,2656.99
30,2656.99
31,2656.99
32,2656.99
33,2656.99
34,2656.99
35,2656.99
36,2656.99
37,2656.99
38,2656.99
39,2656.99
40,2656.99
41,2656.99
42,2656.99
43,2656.99
44,2656.99
45,2656.99
46,2656.99
47,2656.99
48,2656.99
49,2656.99
50,2656.99
51,2656.99
52,2656.99
53,2656.99
54,2656.99
55,2656.99
56,2656.99
57,2656.99
58,2656.99
59,2656.99
60,2656.99
61,2656.99
62,2656.99
63,2656.99
64,2656.99
65,2656.99
66,2656.99
67,2656.99
68,2656.99
69,2656.99
70,2656.99
71,2656.99
72,2656.99
73,2656.99
74,2656.99
75,2656.99
76,2656.99
77,2656.99
78,2656.99
79,2656.99
80,2656.99
81,2656.99
82,2656.99
83,2656.99
84,2656.99
85,2656.99
86,2656.99
87,2656.99
88,2656.99
89,2656.99
90,2656.99
91,2656.99
92,2656.99
93,2656.99
94,2656.99
95,2656.99
96,2656.99
97,2656.99
98,2656.99
99,2656.99
100,2656.99
101,2656.99
102,2656.99
103,2656.99
104,2656.99
105,2656.99
106,2656.99
107,2656.99
108,2656.99
109,2656.99
110,2656.99
111,2656.99
112,2656.99
113,2656.99
114,2656.99
115,2656.99
116,2656.99
117,2656.99
118,2656.99
119,2656.99
120,2656.99
121,2656.99
122,2656.99
123,2656.99
124,2656.99
125,2656.99
126,2656.99
127,2656.99
128,2656.99
129,2656.99
130,2656.99
131,2656.99
132,2656.99
133,2656.99
134,2656.99
135,2656.99
136,2656.99
137,2656.99
138,2656.99
139,2656.99
140,2656.99
141,2656.99
142,2656.99
143,2656.99
144,2656.99
145,2656.99
146,2656.99
147,2656.99
148,2656.99
149,2656.99
150,2656.99
151,2656.99
152,2656.99
153,2656.99
154,2656.99
155,2656.99
156,2656.99
157,2656.99
158,2656.99
159,2656.99
160,2656.99
161,2656.99
162,2656.99
163,2656.99
164,2656.99
165,2656.99
166,2656.99
167,2656.99
168,2656.99
169,2656.99
170,2656.99
171,2656.99
172,2656.99
173,2656.99
174,2656.99
175,2656.99
176,2656.99
177,2656.99
178,2656.99
179,2656.99
180,2656.99
181,2656.99
182,2656.99
183,2656.99
184,2656.99
185,2656.99
186,2656.99
187,2656.99
188,2656.99
189,2656.99
190,2656.99
191,2656.99
192,2656.99
193,2656.99
194,2656.99
195,2656.99
196,2656.99
197,2656.99
198,2656.99
199,2656.99
200,2656.99
201,2656.99
202,2656.99
203,2656.99
204,2656.99
205,2656.99
206,2656.99
207,2656.99
208,2656.99
209,2656.99
210,2656.99
211,2656.99
212,2656.99
213,2656.99
214,2656.99
215,2656.99
216,2656.99
217,2656.99
218,2656.99
219,2656.99
220,2656.99
221,2656.99
222,2656.99
223,2656.99
224,2656.99
225,2656.99
226,2656.99
227,2656.99
228,2656.99
229,2656.99
230,2656.99
231,2656.99
232,2656.99
233,2656.99
234,2656.99
235,2656.99
236,2656.99
237,2656.99
238,2656.99
239,2656.99
240,2656.99
241,2656.99
242,2656.99
243,2656.99
244,2656.99
245,2656.99
246,2656.99
247,2656.99
248,2656.99
249,2656.99
250,2656.99
251,2656.99
252,2656.99
253,2656.99
254,2656.99
255,2656.99
256,2656.99
257,2656.99
258,2656.99
259,2656.99
260,2656.99
261,2656.99
262,2656.99
263,2656.99
264,2656.99
265,2656.99
266,2656.99
267,2656.99
268,2656.99
269,2656.99
270,2656.99
271,2656.99
272,2656.99
273,2656.99
274,2656.99
275,2656.99
276,2656.99
277,2656.99
278,2656.99
279,2656.99
280,2656.99
281,2656.99
282,2656.99
283,2656.99
284,2656.99
285,2656.99
286,2656.99
287,2656.99
288,2656.99
289,2656.99
290,2656.99
291,2656.99
292,2656.99
293,2656.99
294,2656.99
295,2656.99
296,2656.99
297,2656.99
298,2656.99
299,2656.99
300,2656.99
301,2656.99
302,2656.99
303,2656.99
304,2656.99
305,2656.99
306,2656.99
307,2656.99
308,2656.99
309,2656.99
310,2656.99
311,2656.99
312,2656.99
313,2656.99
314,2656.99
315,2656.99
316,2656.99
317,2656.99
318,2656.99
319,2656.99
320,2656.99
321,2656.99
322,2656.99
323,2656.99
324,2656.99
325,2656.99
326,2656.99
327,2656.99
328,2656.99
329,2656.99
330,2656.99
331,2656.99
332,2656.99
333,2656.99
334,2656.99
335,2656.99
336,2656.99
337,2656.99
338,2656.99
339,2656.99
340,2656.99
341,2656.99
342,2656.99
343,2656.99
344,2656.99
345,2656.99
346,2656.99
347,2656.99
348,2656.99
349,2656.99
350,2656.99
351,2656.99
352,2656.99
353,2656.99
354,2656.99
355,2656.99
356,2656.99
357,2656.99
358,2656.99
359,2656.99
360,2656.99
361,2656.99
362,2656.99
363,2656.99
364,2656.99
365,2656.99
366,2656.99
367,2656.99
368,2656.99
369,2656.99
370,2656.99
371,2656.99
372,2656.99
373,2656.99
374,2656.99
375,2656.99
376,2656.99
377,2656.99
378,2656.99
379,2656.99
380,2656.99
381,2656.99
382,2656.99
383,2656.99
384,2656.99
385,2656.99
386,2656.99
387,2656.99
388,2656.99
389,2656.99
390,2656.99
391,2656.99
392,2656.99
393,2656.99
394,2656.99
395,2656.99
396,2656.99
397,2656.99
398,2656.99
399,2656.99
400,2656.99
401,2656.99
402,2656.99
403,2656.99
404,2656.99
405,2656.99
406,2656.99
407,2656.99
408,2656.99
409,2656.99
410,2656.99
411,2656.99
412,2656.99
413,2656.99
414,2656.99
415,2656.99
416,2656.99
417,2656.99
418,2656.99
419,2656.99
420,2656.99
421,2656.99
422,2656.99
423,2656.99
424,2656.99
425,2656.99
426,2656.99
427,2656.99
428,2656.99
429,2656.99
430,2656.99
431,2656.99
432,2656.99
433,2656.99
434,2656.99
435,2656.99
436,2656.99
437,2656.99
438,2656.99
439,2656.99
440,2656.99
441,2656.99
442,2656.99
443,2656.99
444,2656.99
445,2656.99
446,2656.99
447,2656.99
448,2656.99
449,2656.99
450,2656.99
451,2656.99
452,2656.99
453,2656.99
454,2656.99
455,2656.99
456,2656.99
457,2656.99
458,2656.99
459,2656.99
460,2656.99
461,2656.99
462,2656.99
463,2656.99
464,2656.99
465,2656.99
466,2656.99
467,2656.99
468,2656.99
469,2656.99
470,2656.99
471,2656.99
472,2656.99
473,2656.99
474,2656.99
475,2656.99
476,2656.99
477,2656.99
478,2656.99
479,2656.99
480,2656.99
481,2656.99
482,2656.99
483,2656.99
484,2656.99
485,2656.99
486,2656.99
487,2656.99
488,2656.99
489,2656.99
490,2656.99
491,2656.99
492,2656.99
493,2656.99
494,2656.99
495,2656.99
496,2656.99
497,2656.99
498,2656.99
499,2656.99
500,2656.99
501,2656.99
502,2656.99
503,2656.99
504,2656.99
505,2656.99
506,2656.99
507,2656.99
508,2656.99
509,2656.99
510,2656.99
511,2656.99
512,2656.99
513,2656.99
514,2656.99
515,2656.99
516,2656.99
517,2656.99
518,2656.99
519,2656.99
520,2656.99
521,2656.99
522,2656.99
523,2656.99
524,2656.99
525,2656.99
526,2656.99
527,2656.99
528,2656.99
529,2656.99
530,2656.99
531,2656.99
532,2656.99
533,2656.99
534,2656.99
535,2656.99
536,2656.99
537,2656.99
538,2656.99
539,2656.99
540,2656.99
541,2656.99
542,2656.99
543,2656.99
544,2656.99
545,2656.99
546,2656.99
547,2656.99
548,2656.99
549,2656.99
550,2656.99
551,2656.99
552,2656.99
553,2656.99
554,2656.99
555,2656.99
556,2656.99
557,2656.99
558,2656.99
559,2656.99
560,2656.99
561,2656.99
562,2656.99
563,2656.99
564,2656.99
565,2656.99
566,2656.99
567,2656.99
568,2656.99
569,2656.99
570,2656.99
571,2656.99
572,2656.99
573,2656.99
574,2656.99
575,2656.99
576,2656.99
577,2656.99
578,2656.99
579,2656.99
580,2656.99
581,2656.99
582,2656.99
583,2656.99
584,2656.99
585,2656.99
586,2656.99
587,2656.99
588,2656.99
589,2656.99
590,2656.99
591,2656.99
592,2656.99
593,2656.99
594,2656.99
595,2656.99
596,2656.99
597,2656.99
598,2656.99
599,2656.99
600,2656.99
601,2656.99
602,2656.99
603,2656.99
604,2656.99
605,2656.99
606,2656.99
607,2656.99
608,2656.99
609,2656.99
610,2656.99
611,2656.99
612,2656.99
613,2656.99
614,2656.99
615,2656.99
616,2656.99
617,2656.99
618,2656.99
619,2656.99
620,2656.99
621,2656.99
622,2656.99
623,2656.99
624,2656.99
625,2656.99
626,2656.99
627,2656.99
628,2656.99
629,2656.99
630,2656.99
631,2656.99
632,2656.99
633,2656.99
634,2656.99
635,2656.99
636,2656.99
637,2656.99
638,2656.99
639,2656.99
640,2656.99
641,2656.99
642,2656.99
643,2656.99
644,2656.99
645,2656.99
646,2656.99
647,2656.99
648,2656.99
649,2656.99
650,2656.99
651,2656.99
652,2656.99
653,2656.99
654,2656.99
655,2656.99
656,2656.99
657,2656.99
658,2656.99
659,2656.99
660,2656.99
661,2656.99
662,2656.99
663,2656.99
664,2656.99
665,2656.99
666,2656.99
667,2656.99
668,2656.99
669,2656.99
670,2656.99
671,2656.99
672,2656.99
673,2656.99
674,2656.99
675,2656.99
676,2656.99
677,2656.99
678,2656.99
679,2656.99
680,2656.99
681,2656.99
682,2656.99
683,2656.99
684,2656.99
685,2656.99
686,2656.99
687,2656.99
688,2656.99
689,2656.99
690,2656.99
691,2656.99
692,2656.99
693,2656.99
694,2656.99
695,2656.99
696,2656.99
697,2656.99
698,2656.99
699,2656.99
700,2656.99
701,2656.99
702,2656.99
703,2656.99
704,2656.99
705,2656.99
706,2656.99
707,2656.99
708,2656.99
709,2656.99
710,2656.99
711,2656.99
712,2656.99
713,2656.99
714,2656.99
715,2656.99
716,2656.99
717,2656.99
718,2656.99
719,2656.99
720,2656.99
721,2656.99
722,2656.99
723,2656.99
724,2656.99
725,2656.99
726,2656.99
727,2656.99
728,2656.99
729,2656.99
730,2656.99
731,2656.99
732,2656.99
733,2656.99
734,2656.99
735,2656.99
736,2656.99
737,2656.99
738,2656.99
739,2656.99
740,2656.99
741,2656.99
742,2656.99
743,2656.99
744,2656.99
745,2656.99
746,2656.99
747,2656.99
748,2656.99
749,2656.99
750,2656.99
751,2656.99
752,2656.99
753,2656.99
754,2656.99
755,2656.99
756,2656.99
757,2656.99
758,2656.99
759,2656.99
760,2656.99
761,2656.99
762,2656.99
763,2656.99
764,2656.99
765,2656.99
766,2656.99
767,2656.99
768,2656.99
769,2656.99
770,2656.99
771,2656.99
772,2656.99
773,2656.99
774,2656.99
775,2656.99
776,2656.99
777,2656.99
778,2656.99
779,2656.99
780,2656.99
781,2656.99
782,2656.99
783,2656.99
784,2656.99
785,2656.99
786,2656.99
787,2656.99
788,2656.99
789,2656.99
790,2656.99
791,2656.99
792,2656.99
793,2656.99
794,2656.99
795,2656.99
796,2656.99
797,2656.99
798,2656.99
799,2656.99
800,2656.99
801,2656.99
802,2656.99
803,2656.99
804,2656.99
805,2656.99
806,2656.99
807,2656.99
808,2656.99
809,2656.99
810,2656.99
811,2656.99
812,2656.99
813,2656.99
814,2656.99
815,2656.99
816,2656.99
817,2656.99
818,2656.99
819,2656.99
820,2656.99
821,2656.99
822,2656.99
823,2656.99
824,2656.99
825,2656.99
826,2656.99
827,2656.99
828,2656.99
829,2656.99
830,2656.99
831,2656.99
832,2656.99
833,2656.99
834,2656.99
835,2656.99
836,2656.99
837,2656.99
838,2656.99
839,2656.99
840,2656.99
841,2656.99
842,2656.99
843,2656.99
844,2656.99
845,2656.99
846,2656.99
847,2656.99
848,2656.99
849,2656.99
850,2656.99
851,2656.99
852,2656.99
853,2656.99
854,2656.99
855,2656.99
856,2656.99
857,2656.99
858,2656.99
859,2656.99
860,2656.99
861,2656.99
862,2656.99
863,2656.99
864,2656.99
865,2656.99
866,2656.99
867,2656.99
868,2656.99
869,2656.99
870,2656.99
871,2656.99
872,2656.99
873,2656.99
874,2656.99
875,2656.99
876,2656.99
877,2656.99
878,2656.99
879,2656.99
880,2656.99
881,2656.99
882,2656.99
883,2656.99
884,2656.99
885,2656.99
886,2656.99
887,2656.99
888,2656.99
889,2656.99
890,2656.99
891,2656.99
892,2656.99
893,2656.99
894,2656.99
895,2656.99
896,2656.99
897,2656.99
898,2656.99
899,2656.99
900,2656.99
901,2656.99
902,2656.99
903,2656.99
904,2656.99
905,2656.99
906,2656.99
907,2656.99
908,2656.99
909,2656.99
910,2656.99
911,2656.99
912,2656.99
913,2656.99
914,2656.99
915,2656.99
916,2656.99
917,2656.99
918,2656.99
919,2656.99
920,2656.99
921,2656.99
922,2656.99
923,2656.99
924,2656.99
925,2656.99
926,2656.99
927,2656.99
928,2656.99
929,2656.99
930,2656.99
931,2656.99
932,2656.99
933,2656.99
934,2656.99
935,2656.99
936,2656.99
937,2656.99
938,2656.99
939,2656.99
940,2656.99
941,2656.99
942,2656.99
943,2656.99
944,2656.99
945,2656.99
946,2656.99
947,2656.99
948,2656.99
949,2656.99
950,2656.99
951,2656.99
952,2656.99
953,2656.99
954,2656.99
955,2656.99
956,2656.99
957,2656.99
958,2656.99
959,2656.99
960,2656.99
961,2656.99
962,2656.99
963,2656.99
964,2656.99
965,2656.99
966,2656.99
967,2656.99
968,2656.99
969,2656.99
970,2656.99
971,2656.99
972,2656.99
973,2656.99
974,2656.99
975,2656.99
976,2656.99
977,2656.99
978,2656.99
979,2656.99
980,2656.99
981,2656.99
982,2656.99
983,2656.99
984,2656.99
985,2656.99
986,2656.99
987,2656.99
988,2656.99
989,2656.99
990,2656.99
991,2656.99
992,2656.99
993,2656.99
994,2656.99
995,2656.99
996,2656.99
997,2656.99
998,2656.99
999,2656.99
1000,2656.99
